START 1 1

IMPORT tile-castle.dat
IMPORT texture-colored.dat

BACKGROUND
17 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17
17 18 17 17 18 17 17 17 17 17 17 17 17 18 18 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 17
17 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17
17 18 18 17 18 17 17 17 17 17 17 17 17 18 18 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17

FOREGROUND
04 00 00 01 07 07 07 07 07 07 07 07 07 07 07 01
04 00 00 13 00 00 00 00 00 00 00 00 00 00 00 05
04 00 00 00 00 00 00 14 18 18 18 18 18 18 18 01
04 00 00 16 00 00 00 00 00 00 00 00 00 00 00 05
04 00 00 00 00 00 00 14 18 18 18 18 18 18 18 01
04 00 00 16 00 00 00 00 00 00 00 00 00 00 00 05
04 00 00 00 00 00 00 14 18 18 18 18 18 18 18 01
04 00 00 16 00 00 00 00 00 00 00 00 00 00 00 05
04 00 00 00 00 00 00 14 18 18 18 18 18 18 18 01
04 00 00 15 00 00 00 00 00 00 00 00 00 00 00 05
01 06 06 01 06 06 06 06 06 06 06 06 06 06 06 01
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01

BLOCKS
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 -1 -1 -1 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 -1 -1 -1 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 -1 -1 -1 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 -1 -1 -1 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 -1 -1 -1 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

ENEMY LEFTRIGHT 1 11 30 -1
ENEMY LEFTRIGHT 3 10 30 -1
ENEMY LEFTRIGHT 5 9 30 -1
ENEMY LEFTRIGHT 7 8 30 -1
ENEMY LEFTRIGHT 9 7 30 -1
ENEMY UPDOWN 1 4 30 -1
ENEMY UPDOWN 5 5 30 -1
ENEMY UPDOWN 9 6 30 -1
